latitude,longitude,latitude_moved,longitude_moved,dist_moved,i.latitude_moved,i.longitude_moved,i.dist_moved,i.latitude_moved.4,i.longitude_moved.4,i.dist_moved.4,i.latitude_moved.3,i.longitude_moved.3,i.dist_moved.3,i.latitude_moved.2,i.longitude_moved.2,i.dist_moved.2,year,month,country,basisOfRecord,latitude_moved.x,longitude_moved.x,dist_moved.x,GulfofPiran_seaway.x,GulfofPiran_geodesic.x,RavennaH_seaway.x,RavennaH_geodesic.x,RavennaM_seaway.x,RavennaM_geodesic.x,latitude_moved.y,longitude_moved.y,dist_moved.y,GulfofPiran_seaway.y,GulfofPiran_geodesic.y,RavennaH_seaway.y,RavennaH_geodesic.y,RavennaM_seaway.y,RavennaM_geodesic.y,i.latitude_moved.1,i.longitude_moved.1,i.dist_moved.1,GulfofPiran_seaway,GulfofPiran_geodesic,RavennaH_seaway,RavennaH_geodesic,RavennaM_seaway,RavennaM_geodesic
39.139272,23.26916,39.15,23.35,7.08,39.15,23.35,7.08,39.15,23.35,7.08,39.15,23.35,7.08,39.15,23.35,7.08,2020,6,Greece,HUMAN_OBSERVATION,39.15,23.35,7.08,1532,1071,1500,1086,1500,1086,39.15,23.35,7.08,1532,1071,1500,1086,1500,1086,39.15,23.35,7.08,1532,1071,1500,1086,1500,1086
44.826491,12.421608,44.75,12.45,8.81,44.75,12.45,8.81,44.75,12.45,8.81,44.75,12.45,8.81,44.75,12.45,8.81,2020,6,Italy,HUMAN_OBSERVATION,44.75,12.45,8.81,126,123,35,34,35,34,44.75,12.45,8.81,126,123,35,34,35,34,44.75,12.45,8.81,126,123,35,34,35,34
45.42492,12.327456,45.35,12.35,8.52,45.35,12.35,8.52,45.35,12.35,8.52,45.35,12.35,8.52,45.35,12.35,8.52,2020,6,Italy,HUMAN_OBSERVATION,45.35,12.35,8.52,101,97,105,100,105,100,45.35,12.35,8.52,101,97,105,100,105,100,45.35,12.35,8.52,101,97,105,100,105,100
44.130578,12.489027,44.15,12.55,5.33,44.15,12.55,5.33,44.15,12.55,5.33,44.15,12.55,5.33,44.15,12.55,5.33,2020,6,Italy,HUMAN_OBSERVATION,44.15,12.55,5.33,176,172,37,37,37,37,44.15,12.55,5.33,176,172,37,37,37,37,44.15,12.55,5.33,176,172,37,37,37,37
45.395397,12.360175,45.395397,12.360175,0,45.395397,12.360175,0,45.395397,12.360175,0,45.395397,12.360175,0,45.395397,12.360175,0,2020,7,Italy,HUMAN_OBSERVATION,,,,101,95,105,105,105,105,,,,101,95,105,105,105,105,,,,101,95,105,105,105,105
45.62738,13.001711,45.55,13.05,9.4,45.55,13.05,9.4,45.55,13.05,9.4,45.55,13.05,9.4,45.55,13.05,9.4,2018,5,Italy,HUMAN_OBSERVATION,45.55,13.05,9.4,39,41,135,134,135,134,45.55,13.05,9.4,39,41,135,134,135,134,45.55,13.05,9.4,39,41,135,134,135,134
45.362311,12.345559,45.362311,12.345559,0,45.362311,12.345559,0,45.362311,12.345559,0,45.362311,12.345559,0,45.362311,12.345559,0,2008,5,Italy,HUMAN_OBSERVATION,,,,101,97,105,101,105,101,,,,101,97,105,101,105,101,,,,101,97,105,101,105,101
45.084805,13.63444,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,2020,7,Croatia,MATERIAL_SAMPLE,,,,61,49,124,124,124,124,,,,61,49,124,124,124,124,,,,61,49,124,124,124,124
45.084805,13.63444,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,2020,7,Croatia,MATERIAL_SAMPLE,,,,61,49,124,124,124,124,,,,61,49,124,124,124,124,,,,61,49,124,124,124,124
45.084805,13.63444,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,2020,7,Croatia,MATERIAL_SAMPLE,,,,61,49,124,124,124,124,,,,61,49,124,124,124,124,,,,61,49,124,124,124,124
45.084805,13.63444,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,2020,7,Croatia,MATERIAL_SAMPLE,,,,61,49,124,124,124,124,,,,61,49,124,124,124,124,,,,61,49,124,124,124,124
45.084805,13.63444,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,45.084805,13.63444,0,2020,7,Croatia,MATERIAL_SAMPLE,,,,61,49,124,124,124,124,,,,61,49,124,124,124,124,,,,61,49,124,124,124,124
46.137592,14.890636,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,64,210,187,210,187,45.35,14.35,97.21,178,64,210,187,210,187,45.35,14.35,97.21,178,64,210,187,210,187
46.137592,14.890636,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,64,210,187,210,187,45.35,14.35,97.21,178,64,210,187,210,187,45.35,14.35,97.21,178,64,210,187,210,187
46.137592,14.890636,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,64,210,187,210,187,45.35,14.35,97.21,178,64,210,187,210,187,45.35,14.35,97.21,178,64,210,187,210,187
46.137592,14.890636,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,64,210,187,210,187,45.35,14.35,97.21,178,64,210,187,210,187,45.35,14.35,97.21,178,64,210,187,210,187
46.137592,14.890636,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,45.35,14.35,97.21,,,Slovenia,MATERIAL_SAMPLE,45.35,14.35,97.21,178,64,210,187,210,187,45.35,14.35,97.21,178,64,210,187,210,187,45.35,14.35,97.21,178,64,210,187,210,187
