latitude,longitude,year,month,country,basisOfRecord,latitude_moved,longitude_moved,dist_moved
43.42472,3.7,2017,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2017,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2017,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2017,7,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2017,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2017,11,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2013,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.424749,3.700819,2021,11,France,HUMAN_OBSERVATION,43.35,3.75,9.22
43.42972,3.6725,2022,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.06
43.42972,3.6725,2022,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.06
43.42972,3.6725,2021,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.06
43.42972,3.6725,2019,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.06
43.43156,3.63451,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.17
43.4357,3.63965,2021,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.58
43.43958,3.66769,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,10.07
43.43958,3.66769,2015,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,10.07
43.43958,3.66769,2013,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,10.07
43.44347,3.67174,2020,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,10.55
43.44347,3.67174,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,10.55
43.4465,3.66265,2013,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,10.79
43.462337,3.674873,2022,1,France,HUMAN_OBSERVATION,43.35,3.65000000000001,12.67
43.481366,-5.435346,2012,4,Spain,HUMAN_OBSERVATION,43.55,-5.34999999999999,10.29
43.52411,3.92994,2023,4,France,HUMAN_OBSERVATION,43.45,3.95000000000002,8.41
43.554038,4.017053,2023,10,France,HUMAN_OBSERVATION,43.554038,4.017053,0
43.555278,4.022222,2022,5,France,HUMAN_OBSERVATION,43.555278,4.022222,0
43.6554,-1.43881,2022,5,France,HUMAN_OBSERVATION,43.65,-1.54999999999998,8.98
43.65601,-1.43762,2018,7,France,HUMAN_OBSERVATION,43.65,-1.54999999999998,9.08
43.65601,-1.43762,2018,9,France,HUMAN_OBSERVATION,43.65,-1.54999999999998,9.08
43.698059,-7.868271,2016,10,Spain,HUMAN_OBSERVATION,43.75,-7.84999999999999,5.97
44.62848,-1.24306,2021,10,France,HUMAN_OBSERVATION,44.65,-1.34999999999999,8.8
44.640962,12.259712,2022,9,Italy,HUMAN_OBSERVATION,44.65,12.35,7.22
44.64203,-1.23974,2022,1,France,HUMAN_OBSERVATION,44.65,-1.34999999999999,8.78
44.64203,-1.23974,2022,3,France,HUMAN_OBSERVATION,44.65,-1.34999999999999,8.78
44.64203,-1.23974,2021,4,France,HUMAN_OBSERVATION,44.65,-1.34999999999999,8.78
